Geography,Year,Numerator,Denominator
Modoc,2013-2015,0.0,5172.0
Modoc,2014,0.0,90.0
Modoc,2014-2016,0.0,5940.0
Modoc,2015,0.0,80.0
Modoc,2015-2017,0.0,5927.0
Modoc,2016,0.0,97.0
Modoc,2016-2018,0.0,6444.0
Modoc,2017,0.0,88.0
Modoc,2017-2019,0.0,6195.0
Modoc,2018,0.0,105.0
Modoc,2018-2020,0.0,5885.0
Modoc,2019,0.0,89.0
Modoc,2019-2021,0.0,5334.0
Modoc,2020,0.0,77.0
Modoc,2021,0.0,83.0
Mono,2007,0.0,162.0
Mono,2007-2009,0.0,10370.0
Mono,2008,0.0,175.0
Mono,2008-2010,0.0,10156.0
Mono,2009,0.0,139.0
Mono,2009-2011,0.0,9764.0
Mono,2010,0.0,151.0
Mono,2010-2012,0.0,9603.0
Mono,2011,0.0,156.0
Mono,2011-2013,0.0,9609.0
Mono,2012,0.0,131.0
Mono,2012-2014,0.0,9468.0
Mono,2013,0.0,150.0
Mono,2013-2015,0.0,10667.0
Mono,2014,0.0,149.0
Mono,2014-2016,0.0,10244.0
Mono,2015,0.0,152.0
Mono,2015-2017,0.0,10203.0
Mono,2016,0.0,131.0
Mono,2016-2018,0.0,9689.0
Mono,2017,0.0,147.0
Mono,2017-2019,0.0,9564.0
Mono,2018,0.0,132.0
Mono,2018-2020,0.0,8982.0
Mono,2019,0.0,128.0
Mono,2019-2021,0.0,8855.0
Mono,2020,0.0,124.0
Mono,2021,0.0,127.0
Monterey,2007,31.0,7551.0
Monterey,2007-2009,1806.0,484304.0
Monterey,2008,40.0,7436.0
Monterey,2008-2010,1798.0,466741.0
Monterey,2009,33.0,7069.0
